I	я
you	ты / вы
he	он
she	она
it	оно / это
we	мы
they	они
me	мне / меня
him	его / ему
her	её / ей
us	нам / нас
them	их / им
my	мой / моя / моё
your	твой / ваш
his	его (чей?)
her	её (чья?)
its	его / её (для неодуш.)
our	наш
their	их (чей?)
this	этот / эта / это
that	тот / та / то
these	эти
those	те
who	кто
what	что / какой
where	где / куда
when	когда
why	почему / зачем
how	как
whose	чей
one	один
two	два
three	три
four	четыре
five	пять
six	шесть
seven	семь
eight	восемь
nine	девять
ten	десять
eleven	одиннадцать
twelve	двенадцать
thirteen	тринадцать
fourteen	четырнадцать
fifteen	пятнадцать
sixteen	шестнадцать
seventeen	семнадцать
eighteen	восемнадцать
nineteen	девятнадцать
twenty	двадцать
thirty	тридцать
forty	сорок
fifty	пятьдесят
sixty	шестьдесят
seventy	семьдесят
eighty	восемьдесят
ninety	девяносто
hundred	сто
thousand	тысяча
first	первый
second	второй
third	третий
fourth	четвертый
fifth	пятый
time	время / раз
year	год
month	месяц
week	неделя
day	день
hour	час
minute	минута
second	секунда
morning	утро
afternoon	день (после полудня)
evening	вечер
night	ночь
today	сегодня
yesterday	вчера
tomorrow	завтра
now	сейчас
then	тогда / потом
always	всегда
usually	обычно
often	часто
sometimes	иногда
never	никогда
before	до / перед
after	после
early	ранний / рано
late	поздний / поздно
clock	часы (настенные)
watch	часы (наручные)
calendar	календарь
date	дата
weekend	выходные
Monday	понедельник
Tuesday	вторник
Wednesday	среда
Thursday	четверг
Friday	пятница
Saturday	суббота
Sunday	воскресенье
family	семья
people	люди
person	человек
man	мужчина
woman	женщина
child	ребенок
children	дети
boy	мальчик
girl	девочка
father	отец
mother	мать
parent	родитель
dad	папа
mum	мама
son	сын
daughter	дочь
brother	брат
sister	сестра
husband	муж
wife	жена
friend	друг
baby	младенец
grandfather	дедушка
grandmother	бабушка
grandparents	дедушка и бабушка
grandson	внук
granddaughter	внучка
uncle	дядя
aunt	тетя
cousin	двоюродный брат / сестра
name	имя
surname	фамилия
age	возраст
boy-friend	парень (возлюбленный)
girl-friend	девушка (возлюбленная)
neighbor	сосед
guest	гость
king	король
queen	королева
sir	сэр
madam	мадам
team	команда
group	группа
crowd	толпа
classmate	одноклассник
adult	взрослый
teenager	подросток
partner	партнер
boss	босс / начальник
staff	персонал / штат
food	еда
drink	напиток / пить
water	вода
tea	чай
coffee	кофе
milk	молоко
juice	сок
bread	хлеб
butter	сливочное масло
cheese	сыр
meat	мясо
chicken	курица
fish	рыба
egg	яйцо
rice	рис
pasta	паста / макароны
soup	суп
salad	салат
vegetable	овощ
fruit	фрукт
apple	яблоко
banana	банан
orange	апельсин
lemon	лимон
tomato	помидор
potato	картофель
onion	лук
carrot	морковь
sugar	сахар
salt	соль
pepper	перец
oil	масло (растительное)
cake	торт / пирожное
biscuit	печенье
chocolate	шоколад
ice-cream	мороженое
sweet	конфета / сладкий
breakfast	завтрак
lunch	обед
dinner	ужин
apple-juice	яблочный сок
beef	говядина
pork	свинина
sausage	колбаса / сосиска
ham	ветчина
garlic	чеснок
cucumber	огурец
grape	виноград
strawberry	клубника
strawberry-jam	клубничное варенье
honey	мёд
beer	пиво
wine	вино
menu	меню
bill	счет (в ресторане)
waiter	официант
restaurant	ресторан
cafe	кафе
kitchen	кухня
cook	повар / готовить
hungry	голодный
thirsty	испытывающий жажду
delicious	очень вкусный
sweet	сладкий
sour	кислый
bitter	горький
hot	горячий / острый
cold	холодный
fresh	свежий
raw	сырой
fried	жареный
boiled	вареный
baked	печеный
spoon	ложка
fork	вилка
knife	нож
plate	тарелка
glass	стакан / стекло
cup	чашка
bottle	бутылка
home	дом (место жительства)
house	дом (здание)
room	комната
bedroom	спальня
bathroom	ванная комната
living-room	гостиная
toilet	туалет
door	дверь
window	окно
wall	стена
floor	пол / этаж
roof	крыша
garden	сад
garage	гараж
key	ключ
bed	кровать
table	стол
chair	стул
armchair	кресло
sofa	диван
wardrobe	шкаф для одежды
shelf	полка
mirror	зеркало
lamp	лампа
carpet	ковер
curtain	штора
pillow	подушка
blanket	одеяло
towel	полотенце
soap	мыло
shampoo	шампунь
