abolish	отменять / упразднять
abstract	абстрактный / резюме
acknowledge	признавать / подтверждать
acquisition	приобретение / усвоение
adamant	непреклонный / твёрдый
adequate	достаточный / надлежащий
adjacent	смежный / соседний
adversity	невзгоды / трудности
advocate	защитник / отстаивать
affluent	состоятельный / богатый
aggregate	совокупность / суммарный
alleviate	облегчать / смягчать
ambiguous	неоднозначный / двусмысленный
ambitious	честолюбивый / амбициозный
analogy	аналогия / сравнение
anticipate	предвидеть / ожидать
apparent	очевидный / кажущийся
articulate	чётко выражать / красноречивый
assert	утверждать / настаивать
assumption	допущение / предположение
attribute	приписывать / атрибут
autonomous	автономный / независимый
bizarre	странный / причудливый
breach	нарушение / брешь / нарушать
brevity	краткость
bureaucracy	бюрократия
capability	возможность / способность
catalyst	катализатор
chronic	хронический
circumstance	обстоятельство
coherent	связный / логичный
coincide	совпадать
colleague	коллега
compelling	убедительный / неотразимый
compensate	компенсировать / возмещать
complement	дополнение / дополнять
compliance	соблюдение / согласие
comprehensive	всесторонний / подробный
concede	признавать / уступать
conceive	задумывать / воспринимать
concurrent	одновременный
condescending	снисходительный
confront	противостоять / сталкиваться
consent	согласие / соглашаться
consolidate	консолидировать / укреплять
contemplate	рассматривать / обдумывать
contradict	противоречить
controversial	спорный / неоднозначный
conviction	убеждение / осуждение
convey	передавать / выражать
correlate	соотносить / коррелировать
critique	критический анализ / критиковать
cynical	циничный
deduce	делать вывод / дедуцировать
defer	откладывать / подчиняться
deficit	дефицит / нехватка
deliberate	намеренный / обдумывать
depict	изображать / описывать
derive	происходить / получать
diminish	уменьшать / убывать
discrepancy	несоответствие / расхождение
dismiss	отклонять / увольнять
disparity	неравенство / несоответствие
distort	искажать
diverse	разнообразный
elaborate	детально разрабатывать / подробный
eloquent	красноречивый
embody	воплощать / олицетворять
emphasize	подчёркивать / акцентировать
empirical	эмпирический
encompass	охватывать / включать
endorse	одобрять / поддерживать
enhance	улучшать / повышать
erode	разрушать / подрывать
ethical	этический / нравственный
evaluate	оценивать
exaggerate	преувеличивать
explicit	явный / чёткий
exploit	использовать / эксплуатировать
facilitate	облегчать / способствовать
fluctuate	колебаться / варьироваться
formulate	формулировать
foster	способствовать / воспитывать
fundamental	фундаментальный / основной
generate	генерировать / создавать
grasp	схватить / понять / понимание
hypothesis	гипотеза
ideology	идеология
implicit	неявный / подразумеваемый
impose	навязывать / вводить
incentive	стимул / побудительный мотив
inherent	присущий / неотъемлемый
innovative	инновационный
integrity	целостность / честность
intricate	сложный / запутанный
irony	ирония
justify	оправдывать / обосновывать
leverage	рычаг влияния / использовать
manipulate	манипулировать
mechanism	механизм
meticulous	тщательный / скрупулёзный
mitigate	смягчать / уменьшать
mutual	взаимный
nuance	нюанс / тонкость
objective	цель / объективный
obsolete	устаревший
paramount	первостепенный / главный
perceive	воспринимать / осознавать
persevere	упорствовать / настойчиво продолжать
phenomenon	явление / феномен
pragmatic	прагматичный
predominant	преобладающий
premise	предпосылка / основание
prioritize	расставлять приоритеты
profound	глубокий / значительный
rationale	обоснование / причина
redundant	избыточный / лишний
reinforce	усиливать / укреплять
reluctant	неохотный / нежелающий
resilient	устойчивый / жизнестойкий
rhetoric	риторика
rigorous	строгий / тщательный
scrutinize	тщательно изучать
sophisticated	изощрённый / сложный
spontaneous	спонтанный / самопроизвольный
stimulate	стимулировать
subordinate	подчинённый / подчинять
subtle	тонкий / едва уловимый
summarize	резюмировать / кратко излагать
sustain	поддерживать / выдерживать
synthesize	синтезировать
tangible	ощутимый / реальный
terminate	прекращать / завершать
thesis	тезис / диссертация
trigger	вызывать / спусковой механизм
ultimately	в конечном счёте
undermine	подрывать
unprecedented	беспрецедентный
validate	подтверждать / проверять
viable	жизнеспособный / реальный
volatile	нестабильный / изменчивый
vulnerable	уязвимый
withstand	выдерживать / противостоять
yield	уступать / давать урожай / доход
